"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",경기도,파주,금촌동,35,34,23,28,19,29
"도시대기",경기도,파주,운정,30,29,17,22,16,28
"도시대기",경기도,파주,파주읍,26,26,18,21,14,22
"도시대기",경기도,포천,선단동,24,25,18,23,14,18
"도시대기",경기도,포천,일동면,21,24,17,17,12,14
"도시대기",경기도,여주,중앙동,33,37,21,23,20,25
"도시대기",경기도,여주,대신면,34,40,24,22,15,20
"도시대기",경기도,여주,가남읍,44,49,29,30,28,35
"도시대기",경기도,연천,연천,22,25,17,23,16,21
"도시대기",경기도,연천,전곡,26,27,17,19,14,23
"도시대기",경기도,가평,가평,24,27,20,20,15,17
"도시대기",경기도,가평,설악면,28,30,20,23,18,21
"도시대기",경기도,양평,양평읍,29,31,19,20,16,19
"도시대기",경기도,양평,용문면,29,31,20,20,15,17
"도시대기",강원특별자치도,양구,양구읍,17,20,14,13,10,12
"도시대기",강원특별자치도,고성,상리,25,23,16,15,16,16
"도시대기",강원특별자치도,정선,정선읍사무소,23,24,14,14,11,16
"도시대기",강원특별자치도,횡성,우천면,26,25,12,12,9,15
"도시대기",강원특별자치도,횡성,횡성읍,23,23,15,15,12,14
"도시대기",강원특별자치도,춘천,중앙로,24,29,21,23,15,15
"도시대기",강원특별자치도,춘천,신사우동,21**,-,15**,18,13,15
"도시대기",강원특별자치도,강릉,주문진읍,29,27,18,16,16,18
"도시대기",강원특별자치도,강릉,옥천동,29,30,17,17,15,18
"도시대기",강원특별자치도,강릉,초당동,28,25,12,14,15,21
"도시대기",강원특별자치도,원주,중앙동,39,41,30,31,25,27
"도시대기",강원특별자치도,원주,문막읍,28,30,29,35,25,23
"도시대기",강원특별자치도,원주,반곡동,29,33,25,33,22,22
"도시대기",강원특별자치도,원주,지정면,25,29,20,28,26,26
"도시대기",강원특별자치도,동해,천곡동,24,24,17,17,17,18
"도시대기",강원특별자치도,삼척,남양동,22,22,16,15,13,13
"도시대기",강원특별자치도,평창,평창읍,24,23,14,14,11,14
"도시대기",강원특별자치도,양양,양양읍,21,21,13,11,11,12
"도시대기",강원특별자치도,속초,금호동,34,32,23,23,23,22
"도시대기",강원특별자치도,영월,영월읍,25,26,22,23,11,13
"도시대기",강원특별자치도,철원,갈말읍,27,31,21,22,16,18
"도시대기",강원특별자치도,홍천,홍천읍,24,27,16,14,12,17
"도시대기",강원특별자치도,화천,화천군,23,26,18,18,13,15
"도시대기",강원특별자치도,태백,황지동,23,24,13,14,13,14
"도시대기",강원특별자치도,인제,인제읍,21,26,16,15,11,13
"도시대기",충청북도,괴산,괴산읍,29,30,20,23,18,21
"도시대기",충청북도,괴산,감물면,27,29,16,17,14,20
"도시대기",충청북도,음성,음성읍,27,28,15,17,13,20
"도시대기",충청북도,음성,소이면,24,21,13,23,20,24
"도시대기",충청북도,청주,봉명동,36,32,17,22,17,26
"도시대기",충청북도,청주,사천동,33,31,13,18,15,25
"도시대기",충청북도,청주,용담동,30,25,15,20,16,23
"도시대기",충청북도,청주,오창읍,31,28,15,17,14,23
