"구분(1)",구분(2),구분(3),구분(4),2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"도시대기",경기도,양평,용문면,15,18,9,11,7,9
"도시대기",강원특별자치도,양구,양구읍,9,12,7,7,5*,7
"도시대기",강원특별자치도,고성,상리,8,10,7,5,4,6
"도시대기",강원특별자치도,정선,정선읍사무소,11,13,7,8,4,9
"도시대기",강원특별자치도,횡성,우천면,10,8,4,4,2,7
"도시대기",강원특별자치도,횡성,횡성읍,10,13,7,8,5,7
"도시대기",강원특별자치도,춘천,중앙로,9,12,6,7,4,6
"도시대기",강원특별자치도,춘천,신사우동,8**,-,5**,8,4,7
"도시대기",강원특별자치도,강릉,옥천동,13,16,11,11,7,9
"도시대기",강원특별자치도,강릉,주문진읍,12,13,10,8,7,8
"도시대기",강원특별자치도,강릉,초당동,9,11,6,7,6,10
"도시대기",강원특별자치도,원주,중앙동,17,20,14,16,10,13
"도시대기",강원특별자치도,원주,문막읍,17,22,18,20,11,12
"도시대기",강원특별자치도,원주,지정면,16,22,16,18,11,11
"도시대기",강원특별자치도,원주,반곡동,14,16,10,12,8,11
"도시대기",강원특별자치도,동해,천곡동,7,12,10,9,2,5
"도시대기",강원특별자치도,삼척,남양동,10,12,6,5,3*,6
"도시대기",강원특별자치도,평창,평창읍,13,13,8,9,6,8
"도시대기",강원특별자치도,양양,양양읍,8,11,7,6,4,6
"도시대기",강원특별자치도,속초,금호동,17,23,15,11,9,12
"도시대기",강원특별자치도,영월,영월읍,7,11,8,12,6,8
"도시대기",강원특별자치도,철원,갈말읍,14,18,14,13,9,11
"도시대기",강원특별자치도,홍천,홍천읍,14,19,11,11*,7,9
"도시대기",강원특별자치도,화천,화천군,10,12,7,7,5,7
"도시대기",강원특별자치도,태백,황지동,9,10,6,6,5,6
"도시대기",강원특별자치도,인제,인제읍,9,13,7,8,4,6
"도시대기",충청북도,괴산,괴산읍,19,22,13,14,11,15
"도시대기",충청북도,괴산,감물면,15,18,9,11,9,14
"도시대기",충청북도,음성,음성읍,15,17,8,10,7,10
"도시대기",충청북도,음성,소이면,13,13,7,12,9,14
"도시대기",충청북도,청주,봉명동,17,16,8,12,9,15
"도시대기",충청북도,청주,사천동,16,17,9,13,8,14
"도시대기",충청북도,청주,용담동,12,12,7,11,7,11
"도시대기",충청북도,청주,용암동,16,16,7,13,9,13
"도시대기",충청북도,청주,오창읍,15,15,8,11,9,14
"도시대기",충청북도,청주,산남동,16,15,9,13,9,13
"도시대기",충청북도,청주,가덕면,14,14,8,12,8,14
"도시대기",충청북도,청주,오송읍,19,18,9,15,11,18
"도시대기",충청북도,충주,호암동,14,19,11,12,8,12
"도시대기",충청북도,충주,칠금동,17,18,11,13,9,13
"도시대기",충청북도,충주,중앙탑면,12,14,9,12,7,9
"도시대기",충청북도,충주,살미면,14,15,10,12,8,10
"도시대기",충청북도,제천,장락동,13,14,8,9,7,10
"도시대기",충청북도,제천,영천동,15,16,10,12,8,12
"도시대기",충청북도,제천,청풍면,11,12,7,9,6,9
"도시대기",충청북도,단양,매포읍,23,21,10,12,8,10
"도시대기",충청북도,단양,단성면,14,16,12,17,11,13
"도시대기",충청북도,단양,단양읍,13,14,9,10,6,8
"도시대기",충청북도,진천,진천읍,18,20,13,16,12,17
"도시대기",충청북도,진천,덕산읍,17,19,11,14,9,15
"도시대기",충청북도,옥천,옥천읍,12,12,8,14,10,12
"도시대기",충청북도,영동,영동읍,15,15,8,10,7,11
"도시대기",충청북도,영동,황간면,13,13,6,9,6,8
"도시대기",충청북도,증평,증평읍,15,17,10,15,9,11
"도시대기",충청북도,증평,도안면,18,20,11,13,8,14
"도시대기",충청북도,보은,보은읍,11,13,8,11,7,9
"도시대기",충청남도,천안,성황동,14,15,8,15,11,15
"도시대기",충청남도,천안,백석동,15,16,8,12,8,13
